Weld,C,Mn,Si,S,P,Al,Ti,Cr,Ni,Mo,V,Cu,YS,UTS,El,RA,Temp,Temp
AlN,0.07,1.37,0.39,0.007,0.009,0.021,0.0032,0.03,0.03,0.005,0.005,0.03,562,632,27.4,78.2,-30,-57
AlN,0.07,1.36,0.42,0.006,0.007,0.038,0.0036,0.03,0.03,0.005,0.005,0.03,546,625,29.5,74.8,-21,-53
AlN,0.076,1.42,0.49,0.005,0.01,0.047,0.0055,0.03,0.03,0.005,0.005,0.03,541,625,28,71.6,0,-38
AlN,0.07,1.4,0.54,0.005,0.009,0.067,0.0044,0.03,0.03,0.005,0.005,0.03,536,623,27.6,73.7,2,-55
AlO,0.069,1.36,0.3,0.007,0.009,0.0005,0.0037,0.03,0.03,0.005,0.005,0.03,468,529,32.6,80.7,-72,-99
AlO,0.073,1.39,0.33,0.007,0.008,0.002,0.0039,0.03,0.03,0.005,0.005,0.03,475,536,33.4,80.7,-70,-95
AlO,0.078,1.39,0.32,0.007,0.009,0.0044,0.0042,0.03,0.03,0.005,0.005,0.03,478,541,30.4,78.9,-60,-84
AlO,0.08,1.41,0.33,0.006,0.009,0.0078,0.0043,0.03,0.03,0.005,0.005,0.03,478,540,31.2,80.7,-55,-77
AlO,0.08,1.42,0.37,0.006,0.009,0.012,0.0043,0.03,0.03,0.005,0.005,0.03,480,543,29,78.9,-58,-86
AlO,0.076,1.36,0.37,0.005,0.009,0.019,0.0036,0.03,0.03,0.005,0.005,0.03,485,549,31.4,79.8,-58,-86
AlO,0.078,1.31,0.44,0.005,0.008,0.034,0.0036,0.03,0.03,0.005,0.005,0.03,491,564,28.2,78.9,-63,-88
AlO,0.076,1.3,0.51,0.005,0.008,0.049,0.0043,0.03,0.03,0.005,0.005,0.03,485,560,25.2,78.9,-55,-90
AlO,0.079,1.32,0.57,0.004,0.008,0.061,0.0038,0.03,0.03,0.005,0.005,0.03,491,570,29.2,77,-38,-74
AlO,0.074,1.48,0.35,0.006,0.007,0.0005,0.0034,0.03,0.03,0.005,0.005,0.03,461,526,30,78.9,-69,-93
AlO,0.077,1.5,0.37,0.005,0.007,0.0069,0.0053,0.03,0.03,0.005,0.005,0.03,457,546,28.4,78.9,-59,-80
AlO,0.079,1.44,0.44,0.005,0.007,0.016,0.0042,0.03,0.03,0.005,0.005,0.03,499,560,32.4,78.8,-61,-83
AlO,0.078,1.39,0.53,0.005,0.007,0.028,0.0045,0.03,0.03,0.005,0.005,0.03,482,563,29.4,78.9,-63,-84
AlO,0.077,1.4,0.61,0.004,0.008,0.043,0.0052,0.03,0.03,0.005,0.005,0.03,497,573,27.8,78,-46,-84
AlO,0.075,1.35,0.67,0.004,0.007,0.048,0.0049,0.03,0.03,0.005,0.005,0.03,506,581,26.8,76,-43,-77
AlO,0.077,1.52,0.34,0.005,0.006,0.0004,0.0033,0.03,0.03,0.005,0.005,0.03,484,532,29.6,78.9,-77,-94
AlO,0.082,1.44,0.36,0.004,0.006,0.0049,0.0039,0.03,0.03,0.005,0.005,0.03,484,547,28,80.7,-65,-85
AlO,0.084,1.39,0.42,0.004,0.006,0.0095,0.0044,0.03,0.03,0.005,0.005,0.03,502,550,26.8,79.4,-73,-86
AlO,0.082,1.35,0.47,0.005,0.006,0.015,0.0044,0.03,0.03,0.005,0.005,0.03,492,546,29.2,80.7,-78,-96
AlO,0.086,1.3,0.5,0.004,0.007,0.024,0.0032,0.03,0.03,0.005,0.005,0.03,500,563,26.4,80.7,-64,-83
AlO,0.087,1.28,0.58,0.004,0.006,0.035,0.0032,0.03,0.03,0.005,0.005,0.03,492,568,27,78.6,-50,-78
AlO,0.074,1.51,0.35,0.004,0.009,0.0005,0.0028,0.03,0.03,0.005,0.005,0.03,454,524,29,82.4,-80,-92
AlO,0.077,1.34,0.39,0.004,0.011,0.0065,0.003,0.03,0.03,0.005,0.005,0.03,487,557,27.2,81.6,-72,-87
AlO,0.083,1.35,0.47,0.004,0.011,0.012,0.003,0.03,0.03,0.005,0.005,0.03,492,558,26.4,81.6,-80,-94
AlO,0.094,1.25,0.46,0.004,0.01,0.015,0.003,0.03,0.03,0.005,0.005,0.03,478,546,26.8,80.7,-83,-96
AlO,0.08,1.26,0.46,0.004,0.011,0.017,0.0025,0.03,0.03,0.005,0.005,0.03,481,551,29.4,79.8,-76,-95
AlO,0.103,1.34,0.61,0.004,0.009,0.022,0.0051,0.03,0.03,0.005,0.005,0.03,498,572,26.4,80.7,-65,-84
Al,0.069,1.36,0.3,0.007,0.009,0.0005,0.0037,0.03,0.03,0.006,0.004,0.03,468,529,32.6,80.7,-72,-99
Al,0.073,1.39,0.33,0.007,0.008,0.002,0.0039,0.03,0.03,0.006,0.004,0.03,475,536,33.4,80.7,-70,-95
Al,0.078,1.39,0.32,0.007,0.009,0.0044,0.0042,0.03,0.03,0.006,0.004,0.03,478,541,30.4,78.9,-60,-84
Al,0.08,1.41,0.33,0.006,0.009,0.0078,0.0043,0.03,0.03,0.006,0.003,0.03,478,540,31.2,80.7,-55,-77
Al,0.08,1.42,0.37,0.006,0.009,0.012,0.0043,0.03,0.03,0.006,0.003,0.03,480,543,29,78.9,-58,-86
Al,0.076,1.36,0.37,0.005,0.009,0.019,0.0036,0.03,0.03,0.006,0.004,0.03,485,549,31.4,79.8,-58,-86
Al,0.078,1.31,0.44,0.005,0.008,0.034,0.0036,0.03,0.03,0.006,0.004,0.03,491,564,28.2,78.9,-63,-88
Al,0.076,1.3,0.51,0.005,0.008,0.049,0.0043,0.03,0.03,0.006,0.004,0.03,485,560,25.2,78.9,-55,-90
Al,0.079,1.32,0.57,0.004,0.008,0.061,0.0038,0.03,0.03,0.006,0.004,0.03,491,570,29.2,77,-38,-74
AlTiN,0.069,1.49,0.43,0.004,0.005,0.0001,0.046,0.03,0.03,0.005,0.005,0.03,535,594,26,79.8,-60,-78
AlTiN,0.071,1.44,0.36,0.007,0.005,0.0067,0.046,0.03,0.03,0.005,0.005,0.03,522,583,22,78.9,-48,-69
AlTiN,0.071,1.39,0.42,0.007,0.005,0.015,0.042,0.03,0.03,0.005,0.005,0.03,531,587,25.2,78,-56,-74
AlTiN,0.071,1.44,0.52,0.005,0.005,0.03,0.046,0.03,0.03,0.005,0.005,0.03,538,604,23.2,77,-49,-65
AlTiN,0.069,1.41,0.54,0.005,0.005,0.042,0.046,0.03,0.03,0.005,0.005,0.03,561,622,26,77,-43,-63
AlTiN,0.067,1.4,0.57,0.005,0.005,0.05,0.045,0.03,0.03,0.005,0.005,0.03,547,616,22.6,75,-44,-76
AlTiN,0.066,1.48,0.47,0.007,0.005,0.0002,0.041,0.03,0.03,0.005,0.005,0.03,540,607,21.8,77.7,-49,-74
AlTiN,0.073,1.4,0.49,0.004,0.005,0.0046,0.042,0.03,0.03,0.005,0.005,0.03,549,614,22,76.9,-45,-67
AlTiN,0.067,1.32,0.56,0.004,0.005,0.013,0.041,0.03,0.03,0.005,0.005,0.03,564,612,22.8,77.7,-44,-56
AlTiN,0.064,1.42,0.64,0.004,0.005,0.025,0.042,0.03,0.03,0.005,0.005,0.03,554,612,20.2,73.9,-34,-56
AlTiN,0.068,1.39,0.69,0.004,0.005,0.038,0.041,0.03,0.03,0.005,0.005,0.03,549,616,22.3,74.5,-36,-53
AlTiN,0.065,1.46,0.72,0.006,0.005,0.059,0.049,0.03,0.03,0.005,0.005,0.03,559,609,23,77.7,-55,-76
AlTiN,0.068,1.46,0.47,0.007,0.005,0.0007,0.045,0.03,0.03,0.005,0.005,0.03,549,614,23.2,76.7,-42,-65
AlTiN,0.066,1.32,0.5,0.008,0.005,0.0052,0.044,0.03,0.03,0.005,0.005,0.03,535,597,24.2,76,-31,-51
AlTiN,0.064,1.36,0.57,0.007,0.005,0.0133,0.04,0.03,0.03,0.005,0.005,0.03,546,612,21.7,76.5,-4,-28
AlTiN,0.063,1.47,0.65,0.007,0.005,0.0279,0.044,0.03,0.03,0.005,0.005,0.03,544,615,25.9,81,-7,-35
AlTiN,0.066,1.45,0.7,0.006,0.005,0.037,0.041,0.03,0.03,0.005,0.005,0.03,605,674,22.8,78.9,-17,-46
AlTiN,0.066,1.39,0.56,0.004,0.005,0.054,0.045,0.03,0.03,0.005,0.005,0.03,571,637,24.4,77,-34,-52
AlTi,0.074,1.49,0.29,0.006,0.013,0.0006,0.0005,0.03,0.03,0.005,0.005,0.03,431,527,29.6,78,-19,-41
AlTi,0.081,1.43,0.29,0.006,0.013,0.006,0.0005,0.03,0.03,0.005,0.005,0.03,444,542,27.6,72.9,-15,-39
AlTi,0.076,1.36,0.34,0.005,0.011,0.015,0.0005,0.03,0.03,0.005,0.005,0.03,437,527,24.6,78.9,-20,-58
AlTi,0.079,1.37,0.39,0.005,0.011,0.025,0.0005,0.03,0.03,0.005,0.005,0.03,437,538,25.2,78.9,-25,-56
AlTi,0.078,1.4,0.44,0.004,0.011,0.042,0.0005,0.03,0.03,0.005,0.005,0.03,469,545,24.4,77,-30,-62
AlTi,0.081,1.42,0.48,0.004,0.006,0.066,0.0004,0.03,0.03,0.005,0.005,0.03,466,551,26.2,78.9,-29,-76
AlTi,0.069,1.36,0.3,0.007,0.009,0.0005,0.0037,0.03,0.03,0.005,0.005,0.03,468,529,32.6,80.7,-72,-99
AlTi,0.073,1.39,0.33,0.007,0.008,0.002,0.0039,0.03,0.03,0.005,0.005,0.03,475,536,33.4,80.7,-70,-95
AlTi,0.078,1.39,0.32,0.007,0.009,0.0044,0.0042,0.03,0.03,0.005,0.005,0.03,478,541,30.4,78.9,-60,-84
AlTi,0.08,1.41,0.33,0.006,0.009,0.0078,0.0043,0.03,0.03,0.005,0.005,0.03,478,540,31.2,80.7,-55,-77
AlTi,0.08,1.42,0.37,0.006,0.009,0.012,0.0043,0.03,0.03,0.005,0.005,0.03,480,543,29,78.9,-58,-86
AlTi,0.076,1.36,0.37,0.005,0.009,0.019,0.0036,0.03,0.03,0.005,0.005,0.03,485,549,31.4,79.8,-58,-86
AlTi,0.078,1.31,0.44,0.005,0.008,0.034,0.0036,0.03,0.03,0.005,0.005,0.03,491,564,28.2,78.9,-63,-88
AlTi,0.076,1.3,0.51,0.005,0.008,0.049,0.0043,0.03,0.03,0.005,0.005,0.03,485,560,25.2,78.9,-55,-90
AlTi,0.079,1.32,0.57,0.004,0.008,0.061,0.0038,0.03,0.03,0.005,0.005,0.03,491,570,29.2,77,-38,-74
AlTi,0.074,1.5,0.32,0.006,0.006,0.0008,0.0099,0.03,0.03,0.005,0.005,0.03,484,547,29.4,79.8,-52,-74
AlTi,0.074,1.41,0.27,0.007,0.006,0.0047,0.0088,0.03,0.03,0.005,0.005,0.03,442,514,32.2,81.6,-31,-57
AlTi,0.071,1.36,0.39,0.005,0.009,0.016,0.0092,0.03,0.03,0.005,0.005,0.03,481,545,30.6,81.4,-56,-68
AlTi,0.069,1.36,0.45,0.005,0.008,0.028,0.0063,0.03,0.03,0.005,0.005,0.03,474,540,28,80.7,-61,-68
